titulo_servico,descricao_completa
Multa de trânsito - Consulta de multa,
Consulta de contracheques,
IPTU - Certidão de Elementos Cadastrais,"## **O que é:**

Este serviço permite a geração de uma certidão com os dados cadastrais do imóvel, conforme constam no cadastro imobiliário na data da consulta. Esta certidão concentra as informações relativas aos dados cadastrais do imóvel (como área, posição, idade, utilização, etc.) e dos contribuintes relacionados que constam no cadastro do IPTU.


## **Para que serve:**

O serviço tem como objetivo fornecer um registro dos dados cadastrais do imóvel, essencial para o cálculo e lançamento do IPTU. Permite também que o contribuinte verifique as informações constantes no cadastro do IPTU do imóvel.

Caso haja divergências entre os dados apresentados na certidão e a situação real do imóvel, o contribuinte pode iniciar um processo administrativo para correção, utilizando o serviço ""Regularização de dados cadastrais"".


## **Quem pode solicitar:**

Qualquer cidadão que precise consultar ou obter uma certidão com os dados cadastrais de um imóvel. Para acessar o serviço, é necessário ter o número da inscrição imobiliária do imóvel."
Remoção de entulho,
ITBI - Impressão de guia para pagamento,
Emissão de certidão de Dívida Ativa,"## **O que é:**

Este serviço se refere à emissão da Certidão de Dívida Ativa, um documento gerado pela Procuradoria da Dívida Ativa do Município do Rio de Janeiro. Esta certidão informa e certifica a situação fiscal de contribuintes, sejam pessoas físicas ou jurídicas, quanto à existência de débitos inscritos em dívida ativa municipal.


A Procuradoria da Dívida Ativa realiza uma análise dos créditos sob sua administração para certificar a situação fiscal. É importante notar que a certidão ressalva o direito do Município do Rio de Janeiro de cobrar e inscrever quaisquer dívidas de responsabilidade do contribuinte que venham a ser apuradas futuramente.


## **Para que serve:**

A Certidão de Dívida Ativa é essencial para comprovar a situação fiscal de um contribuinte perante o Município. Ela é utilizada para diversas finalidades, como a realização de **escrituras**, a celebração de **convênios** e a **participação em licitações e concursos públicos**, entre outras situações que exigem tal comprovação.


## **Quem pode solicitar:**

O serviço é destinado a **contribuintes** (sejam pessoas físicas ou pessoas jurídicas) que necessitam de uma certificação de sua situação fiscal em relação a débitos municipais."
ITBI - Emissão da certidão de pagamento,
Multa de Trânsito - Defesa Prévia de Autuação,
Reparo de luminária,
Multa de Trânsito - Informações sobre como pagar,
ISS - Emissão de DARM para pagamento,
IPTU – Parcelamento 2025 – Solicitação e emissão de boletos,"## **O que é?**

Este serviço permite a solicitação de parcelamento e a emissão de guias o pagamento do Imposto Predial e Territorial Urbano (IPTU) e da Taxa de Coleta Domiciliar de Lixo (TCL). Ele é destinado a débitos que estejam consignados em guias com todas as cotas já vencidas e que ainda não tenham sido inscritos em Dívida Ativa.


## **Para que serve?**

O serviço serve para regularizar débitos de IPTU e TCL junto à Secretaria Municipal de Fazenda.


## **Quem pode solicitar?**

Pode solicitar o parcelamento o cidadão que possua débitos de IPTU ou TCL não inscritos em Dívida Ativa."
Consultar Declaração de Escolaridade,
IPTU - Notificação de Lançamento (inclusive guias extraordinárias),"## **O que é:**

Este serviço permite a exibição dos dados utilizados no lançamento do IPTU, incluindo a consulta, pela leitura no campo de informações complementares, se o imóvel possui algum benefício fiscal cadastrado, como isenção ou imunidade.

É possível verificar os dados cadastrais do imóvel e as informações do lançamento. No campo de informações complementares, o serviço indica se o imóvel possui algum benefício fiscal cadastrado, como isenção ou imunidade, tanto para o IPTU quanto para a Taxa de Coleta Domiciliar de Lixo (TCL).


## **Para que serve:**

O serviço serve para que o contribuinte possa consultar os detalhes do cálculo do seu IPTU e verificar a existência de benefícios fiscais aplicados ao seu imóvel. Isso inclui isenções ou imunidades para o IPTU e/ou a TCL, garantindo transparência sobre a tributação.


## **Quem pode solicitar:**

Qualquer cidadão que necessite consultar os dados de lançamento do IPTU de um imóvel. Para acessar o serviço, é obrigatório ter o número da inscrição imobiliária do imóvel em questão."
Solicitação de orientações sobre o alvará pela internet,"## **O que é:**

Este serviço oferece **orientações e esclarecimentos** sobre os procedimentos relacionados ao licenciamento de estabelecimentos na cidade do Rio de Janeiro.   
Ele abrange a Consulta Prévia de Local (CPL), o requerimento eletrônico, a emissão do Alvará de Licença de Estabelecimento e a Taxa de Licença de Estabelecimento.

Também auxilia na impressão desses documentos via internet e na resolução de problemas ou dúvidas sobre a emissão do DARM e do próprio Alvará.


## **Para que serve:**

O serviço serve para **fornecer suporte e orientação** em casos de dúvidas ou problemas com a Consulta Prévia de Local (CPL) e a concessão do Alvará de Licença de Estabelecimento. Ele visa solucionar questões relacionadas à emissão do DARM e do Alvará.

Além disso, o serviço esclarece outras dúvidas gerais sobre o Alvará de Licença de Estabelecimento e a CPL, garantindo que os usuários possam prosseguir com seus processos de licenciamento de forma correta.


## **Quem pode solicitar:**

Este serviço é destinado a **empresas e autônomos** que precisam de orientações ou enfrentam dificuldades nos processos de licenciamento de estabelecimentos no município do Rio de Janeiro. É para quem busca esclarecimentos sobre a Consulta Prévia de Local, o requerimento eletrônico e a emissão de alvarás."
Fiscalização de perturbação do sossego,
"Reparo de buraco, deformação ou afundamento na pista","## **O que é:**

Este serviço é responsável pelo reparo de buracos, deformações, afundamentos e outras irregularidades encontradas no pavimento das ruas, especificamente na pista de rolamento dos veículos. Abrange também a manutenção de buracos em ciclovias, na pista da Transoeste, e em túneis e viadutos.

O serviço inclui o renivelamento de tampões e grelhas que estejam desnivelados. É importante notar que, em casos de afundamento ou renivelamento de tampão/grelha, o serviço passará por uma vistoria e poderá ser qualificado para outro tipo de intervenção, com um prazo diferente. O cidadão será informado por e-mail sobre qualquer alteração.


## **Para que serve:**

Garantir a segurança e a fluidez do trânsito nas vias públicas do Rio de Janeiro, corrigindo imperfeições no pavimento que podem causar acidentes ou dificultar a circulação de veículos e ciclistas. O objetivo é manter a infraestrutura viária em boas condições para todos os usuários.


## **Quem pode solicitar:**

Qualquer cidadão que identifique buracos, deformações ou afundamentos nas vias públicas do município do Rio de Janeiro pode solicitar este serviço."
Consulta de débitos de IPTU em Dívida Ativa,"## **O que é:**

Este serviço permite a consulta detalhada de débitos pendentes referentes ao Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU) de um imóvel. Esses débitos estão registrados na Dívida Ativa do município do Rio de Janeiro e são administrados pela Procuradoria Geral do Município (PGM).


## **Para que serve:**

Serve para que cidadãos e proprietários de imóveis possam verificar a situação fiscal de uma propriedade de forma clara e objetiva. A consulta é fundamental para identificar e planejar a regularização de débitos, contribuindo para evitar complicações legais e financeiras.


## **Quem pode solicitar:**

Qualquer cidadão interessado em consultar os débitos de IPTU de um imóvel específico no município do Rio de Janeiro. Isso inclui proprietários, futuros compradores ou seus representantes legais que necessitam verificar a situação fiscal do bem."
IPTU - Alteração de nome do proprietário,"**O que é:**

A alteração do nome do proprietário no Cadastro Imobiliário da Secretaria Municipal de Fazenda (IPTU) é um processo fundamental para manter os registros fiscais do imóvel atualizados e em conformidade com a titularidade.


**Para que serve:**

Atualizar o nome do proprietário no Cadastro Imobiliário da Secretaria Municipal de Fazenda. Isso garante que todas as informações fiscais do imóvel estejam corretas, refletindo a titularidade atual e assegurando a regularidade cadastral.


**Quem pode solicitar:**

O serviço pode ser solicitado pelo proprietário do imóvel, seja ele uma pessoa física ou jurídica. Além disso, um procurador legalmente constituído e devidamente autorizado pode realizar a solicitação em nome do proprietário."
Informações sobre matrícula na rede municipal - 2026,
IPTU - Consulta a pagamentos e débito automático,"## **O que é:**

Este serviço permite a consulta de pagamentos realizados na guia do Imposto Predial e Territorial Urbano (IPTU), além de fornecer dados sobre o débito automático. É possível verificar pagamentos efetuados em um ano específico, seja na guia anual ou parcelamento, desde que não inscritos em dívida ativa.  
A consulta pode ser feita para pagamentos a partir do ano de 1995, e os referentes a parcelamentos são limitados aos últimos 5 anos, incluindo o ano corrente.


## **Para que serve:**

O serviço tem como objetivo permitir a **verificação detalhada** dos pagamentos de IPTU, a consulta do código de débito automático e a geração de uma **Certidão de Pagamento**. Esta certidão exibe informações como valores cobrados, valores pagos, datas de vencimento e pagamento, e a origem do pagamento, auxiliando no controle fiscal do contribuinte.


## **Quem pode solicitar:**

Qualquer cidadão que precise consultar pagamentos do IPTU ou informações relacionadas ao débito automático de um imóvel."
Cartão de estacionamento para pessoas com deficiência - PCD,
IPTU - Certidão de Valor Venal,"## **O que é:**

Este serviço permite a emissão da certidão de valor venal de um imóvel, abrangendo até 10 exercícios fiscais consecutivos. A certidão apresenta o valor do imóvel em 1º de janeiro dos exercícios solicitados, apurado de acordo com os dados cadastrais registrados nessa data e expresso na moeda da época.

O documento é emitido a partir das informações contidas no sistema de dados informatizados do IPTU. Os valores venais são apurados de acordo com os critérios estabelecidos pela Lei nº 691, de 24 de dezembro de 1984, e pela legislação tributária em vigor para cada lançamento, e não devem ser considerados equivalentes aos respectivos valores de mercado.


## **Para que serve:**

A certidão de valor venal é um documento essencial para comprovar o valor de um imóvel em diversas situações. Ela é exigida em processos de **regularização cadastral**, **inventários** e **financiamentos de imóveis**, fornecendo uma base oficial para essas transações e procedimentos legais.


## **Quem pode solicitar:**

Qualquer cidadão ou contribuinte que necessite da comprovação do valor venal de um imóvel. Isso inclui proprietários, herdeiros, compradores, vendedores ou seus representantes legais, para fins de regularização, inventário ou financiamento."
Licenciamento de eventos - Autorização Transitória,"**O que é:**

Este serviço permite a obtenção de uma autorização transitória para realizar eventos em áreas públicas ou particulares no município do Rio de Janeiro. Abrange o licenciamento de festas, eventos esportivos, culturais, religiosos, shows, feiras de artesanato e similares.


Também inclui a instalação de estandes imobiliários e a realização de encontros ou aglomerações de qualquer natureza com objetivos econômicos ou corporativos. Quando há instalação de estruturas em espaços públicos, o prazo de autorização considera tanto o tempo de montagem quanto a antecedência exigida pela legislação.


## Para que serve:

Este serviço serve para garantir a legalidade e a conformidade de eventos diversos, assegurando que todas as atividades realizadas em espaços públicos ou particulares estejam devidamente autorizadas pela administração municipal.


## Quem pode solicitar:

Qualquer pessoa física ou jurídica que deseje organizar ou promover um evento em áreas públicas ou particulares no município do Rio de Janeiro. Isso inclui promotores de festas, shows, eventos esportivos, culturais, religiosos, feiras e encontros corporativos."
Alvará a Jato,"## **O que é:**

O Alvará a Jato é um sistema de cadastro para empreendedores que desejam formalizar seus negócios na Cidade do Rio de Janeiro. Este serviço permite o registro de atividades econômicas, habilitando o empreendedor a desenvolver suas operações.


É importante notar que, ao final do cadastro, apesar da necessidade de recolher valores referentes à Taxa de Licença de Estabelecimento (TLE), **não** há disponibilização de um Alvará físico.


## **Para que serve:**

Este serviço serve para formalizar a atividade econômica do empreendedor, permitindo que ele desenvolva suas operações com atividades de baixo risco na Cidade do Rio de Janeiro de forma regular e apta.


## **Quem pode solicitar:**

Pode solicitar o Alvará a Jato o empreendedor, seja comerciante ou empresário, que tenha sua atividade econômica enquadrada como de **baixo risco** e possua **porte adequado**."
Contracheque de servidor inativo e pensionista,
Declaração do Imposto de Renda na Fonte para aposentados e pensionistas,
Manutenção/Desobstrução de ramais de águas pluviais e ralos,"## **O que é:**

Este serviço realiza a manutenção e desobstrução de ramais e galerias de águas pluviais, bem como de ralos entupidos. Ele atua em situações onde a água retorna para as casas ou não escoa, causando alagamentos nas ruas.

O serviço também abrange a manutenção e desobstrução de ramais de ralo localizados nas vias Transcarioca e Transoeste, garantindo o fluxo adequado da água da chuva nessas importantes vias.


## **Para que serve:**

O serviço serve para garantir o escoamento adequado da água da chuva, evitando o retorno de água para as residências e prevenindo alagamentos nas ruas. Seu objetivo é normalizar o fluxo das galerias pluviais e manter a funcionalidade da infraestrutura de drenagem.


## **Quem pode solicitar:**

Qualquer cidadão pode solicitar este serviço. Para fazer a solicitação, é necessário informar o bairro, a rua e o número da residência ou estabelecimento que esteja em frente ao bueiro ou ralo, além de fornecer pontos de referência para facilitar a localização da ocorrência."
IPTU - Atualização de CPF/CNPJ,"## O que é:

Este serviço permite a atualização do CPF ou CNPJ do proprietário no Cadastro Imobiliário da Secretaria Municipal de Fazenda (IPTU). Ele é utilizado quando o nome do contribuinte (titularidade) está correto na notificação de lançamento do IPTU, mas existe uma divergência nos dados de CPF/CNPJ.


**Aviso: **Informamos que as alterações de titularidade e destinatário processadas após 26/12/25 só constarão na notificação de lançamento (antigo carnê) do IPTU de 2027.

Todavia, as alterações realizadas após essa data poderão ser confirmadas por meio de certidões que podem ser emitidas pela internet:


- Certidão de elementos cadastrais do IPTU disponível no link:

[https://www2.rio.rj.gov.br/smf/iptucertcadastral/](https://www2.rio.rj.gov.br/smf/iptucertcadastral/)

- Certidão de situação fiscal e enfitêutica no link:

[https://www2.rio.rj.gov.br/smf/iptucertfiscal/](https://www2.rio.rj.gov.br/smf/iptucertfiscal/)


## Para que serve:

O serviço tem como objetivo principal possibilitar o pagamento de dívidas do IPTU de forma parcelada junto à dívida ativa municipal. Além disso, ele permite a correta geração do QR Code para pagamentos via PIX, garantindo a regularização fiscal do imóvel.


## Quem pode solicitar:

Proprietários de imóveis no município do Rio de Janeiro que necessitam corrigir ou atualizar o CPF ou CNPJ associado ao seu Cadastro Imobiliário (IPTU). É destinado a contribuintes cuja titularidade está correta, mas os dados de identificação fiscal precisam ser ajustados. O serviço pode ser solicitado o ano todo, exceto durante o período de emissão anual do IPTU (entre o final de dezembro e o início de janeiro)."
Multa de trânsito - Troca do Real Infrator,
Controle de roedores e caramujos africanos,
Solicitação de correção de falhas e de cadastro no portal e app 1746,
Remoção de resíduos em vias públicas,
