titulo_servico,nome_orgao,categoria,status_do_servico,analise_relevancia
Fiscalização de perturbação do sossego,Guarda Municipal do Rio de Janeiro,Ordem Pública,Publicado,Fica - Validado
"Reparo de buraco, deformação ou afundamento na pista",Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica - Validado
Consulta de débitos de IPTU em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica - Validado
"IPTU – Regularização de Recolhimentos (parcelamento, restituição, alegação e transposição)",Secretaria Municipal de Fazenda,Tributos,Em Edição,Não fica - validado
IPTU - Alteração de nome do proprietário,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Informações sobre matrícula na rede municipal - 2026,Secretaria Municipal de Educação,Educação,Publicado,Fica - Validado
IPTU - Consulta a pagamentos e débito automático,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Cartão de estacionamento para pessoas com deficiência - PCD,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
IPTU - Certidão de Valor Venal,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Licenciamento de eventos - Autorização Transitória,"Riocentro S.A. - Centro de Feiras, Exposições e Congressos do Rio de Janeiro",Licenças,Publicado,Fica - Validado
Alvará a Jato,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
Contracheque de servidor inativo e pensionista,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica - Validado
Declaração do Imposto de Renda na Fonte para aposentados e pensionistas,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica - Validado
Manutenção/Desobstrução de ramais de águas pluviais e ralos,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica - Validado
IPTU - Atualização de CPF/CNPJ,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Multa de trânsito - Troca do Real Infrator,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Controle de roedores e caramujos africanos,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica - Validado
Solicitação de correção de falhas e de cadastro no portal e app 1746,Secretaria Municipal da Casa Civil,Cidadania,Publicado,Fica - Validado
Remoção de resíduos em vias públicas,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica - Validado
Parcelamento de débitos em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Em Edição,Fica - Validado
Informações sobre o Programa Bolsa Família,,Cidadania,Publicado,Fica - Validado
Fiscalização de má conduta do motorista/despachante,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Poda de árvore em vias públicas,Companhia Municipal de Limpeza Urbana,Meio Ambiente,Publicado,Fica - Validado
Verificação de frequência irregular da coleta domiciliar com retirada do resíduo,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica - Validado
Atendimento em unidades de Atenção Primária em Saúde,Secretaria Municipal de Saúde,Saúde,Publicado,Fica - Validado
Informações sobre os Centro de Referência de Assistência Social - CRAS,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica - Validado
IPTU – Certidão de Histórico Fiscal,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Autorização e legalização de comércio ambulante,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
Resgate de animais silvestres,Secretaria Municipal de Meio Ambiente e Clima,Meio Ambiente,Publicado,Fica - Validado
Informações sobre liberação de veículos rebocados,Secretaria Municipal de Ordem Pública,Transporte,Publicado,Fica - Validado
Emissão de guia de pagamento de Dívida Ativa em atraso,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica - Validado
Histórico de Tarifas,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
"IPTU - Regularização, parcelamento, restituição, alegação ou transposição",Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Informações sobre gratuidade no transporte municipal,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
ISS – Consulta de Pendências com o Fisco Municipal para Ingresso no Simples Nacional,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Multa de Trânsito - Cancelamento (1ª Instância),Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
"ISS – Profissional Autônomo: Autônomo Estabelecido, Autônomo  Equiparado a Empresa e Autônomo não Estabelecido",Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica - Validado
Varrição de vias públicas,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica - Validado
Capina em vias públicas,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica - Validado
Informações sobre o Plano de Saúde do Servidor Municipal - PSSM,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica - Validado
Consulta e emissão de Auto de Infração - Coordenadoria de Controle Urbano,Coordenadoria de Controle Urbano,Cidade,Publicado,Fica - Validado
Pesquisa de existência de alvará,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
Certidão Negativa de Débito (Nada Consta),Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica - Validado
Reparo de sinal de trânsito apagado,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica - Validado
Informações sobre o portal SISREG,Secretaria Municipal de Saúde,Saúde,Publicado,Fica - Validado
Empréstimo Consignado e Margem Consignável,Secretaria Municipal de Administração,Servidor,Em Edição,Fica - Validado
Minhas Empresas/Cadastrar Procurador de Empresa,Secretaria Municipal de Fazenda,Licenças,Publicado,Fica - Validado
ISS – Acompanhamento da formalização da opção pelo Simples Nacional,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica - Validado
Castração gratuita de cães e gatos - Programa Bicho Rio,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica - Validado
Autorização para exibição de publicidade,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
Remoção de veículo abandonado em via pública,Secretaria Municipal de Ordem Pública,Transporte,Publicado,Fica - Validado
"ISS – Alíquotas, Base de Cálculo e Código de Atividades",Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica - Validado
ITBI - Autenticação da certidão de pagamento,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Recadastramento anual de servidores inativos e pensionistas,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica - Validado
Vistoria veicular e atualização documental - Táxi,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Carteira Digital de Trânsito - CDT,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
IPTU - Formulário de alteração de titularidade,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Concessão de alvará para eventos,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
Verificação de ar condicionado inoperante no ônibus,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Informações sobre a Carteira da Pessoa Idosa,Secretaria Municipal de Assistência Social,Transporte,Publicado,Fica - Validado
Fiscalização de obras em imóvel privado,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica - Validado
Emissão de 2ª via do IPTU,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica - Validado
Visitação ao Museu do Universo no Planetário do Rio,Fundação Planetário da Cidade do Rio de Janeiro,Cultura,Em Edição,Fica - Validado
Informações sobre o Programa Cartão Família Carioca,Secretaria Municipal de Assistência Social,Família,Em Edição,Não fica - validado
Fiscalização de má condição do ônibus,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
ITBI – Processo de Reconhecimento de Isenção,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica - Validado
ISS - Emissão de DARM de ISS trimestral de contribuintes autônomos,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Multa de Trânsito - Acompanhamento de recurso,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Informações sobre o Bilhete Único Carioca,Secretaria Municipal de Transportes,Transporte,Publicado,Não fica - validado
Multa de Trânsito - Solicitação de cópia do Auto de Infração (AIT ou foto),Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Informações sobre o Programa Carioca Paga Meia,Secretaria Municipal de Cultura,Cultura,Publicado,Fica - Validado
Castração de cães e gatos agendamento on-line,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica - Validado
Patrimônio – Aviso do foreiro,Superintendência Executiva de Patrimônio Imobiliário,Tributos,Publicado,Fica - Validado
ISS - Baixa de inscrição/exclusão de atividades,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica - Validado
Multa de Trânsito - 2ª Instância,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
ITBI – Processo de Restituição total ou parcial,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica - Validado
"ISS - Confissão de dívida, parcelamento e reparcelamento de débito não inscrito em Dívida Ativa",Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
ITBI – Processo de Revisão de valor e Reconsideração de decisão,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Segunda via de alvará,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
Coordenadorias Regionais de Educação (CREs),Secretaria Municipal de Educação,Educação,Publicado,Fica - Validado
Conselho de Contribuintes,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Fiscalização de buraco na calçada,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Número da inscrição imobiliária,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Concessão de alvará de licença de estabelecimento pela internet,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
ITBI- Processo de Reconhecimento de Não incidência,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Reposição de grelha ou tampão,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
"Vistoria em foco de Aedes aegypti (Dengue, Chikungunya e Zika)",Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Atendimento clínico em animais,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica
Consulta de Situação Cadastral por Permissão,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Remoção de resíduos de poda,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Denúncia de corrupção e/ou improbidade administrativa,Secretaria Municipal de Integridade e Transparência,Central Anticorrupção,Publicado,Fica
Pedido de Acesso à Informação (LAI),Secretaria Municipal de Integridade e Transparência,Lei de Acesso à Informação (LAI),Publicado,Fica - Validado
IPTU - Consulta ao valor do m² por nome de rua (logradouro),Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Legalização de obras com contrapartida (Mais Valia),Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Informações sobre atividades esportivas gratuitas,Secretaria Municipal de Esportes,Saúde,Publicado,Fica
IPTU – Revisão de lançamento,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
ISS – Confirmação de Autenticidade de Certidão,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Informações sobre o Auxílio Educação,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
IPTU – Declaração de existência/não existência de imóveis,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
"Informações sobre cadastro no Programa Minha Casa, Minha Vida",Secretaria Municipal de Habitação,Cidade,Publicado,Fica
Consulta e encaminhamento para vagas de emprego,Secretaria Municipal de Trabalho e Renda,Cidadania,Publicado,Fica
Emissão de certidões do IPTU,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Solicitação de atendimento do Conselho Tutelar,Secretaria Municipal de Assistência Social,Família,Em Edição,Fica - Validado
Fiscalização de obstáculo fixo na calçada,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Fiscalização de atividades econômicas sem alvará,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
IPTU – Autenticidade da Certidão de Situação Fiscal e Enfitêutica do Imóvel,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Limpeza de ralos,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Limpeza de praças e parques,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Informações sobre pagamento do IPTU,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Fiscalização da atuação do guardador de estacionamento Rio Rotativo,Secretaria Municipal de Ordem Pública,Transporte,Publicado,Fica
Solicitação de emissão de BRAT em acidente de trânsito sem vítima,Guarda Municipal do Rio de Janeiro,Transporte,Publicado,Fica
"Informações sobre o acolhimento institucional de adultos, famílias, idosos em vulnerabilidade",Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
ISS – Prazos de Pagamento,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Fiscalização sanitária em serviços de alimentos e ensino,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Saúde,Publicado,Fica
Emissão de Relatório de Informação Urbanística (RIU),Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Solicitação de serviços para os povos e comunidades tradicionais,Secretaria Municipal de Meio Ambiente e Clima,Cidadania,Publicado,Fica - Validado
Autorização para colocação de mesas e cadeiras em área pública,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
Avaliação de risco de queda da árvore,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Inclusão ou exclusão de motorista auxiliar de táxi,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
"Verificação de negligência com idoso, abandono ou autonegligência",Secretaria Municipal do Envelhecimento Saudável e Qualidade de Vida,Cidadania,Publicado,Fica
Atendimento ao consumidor - Procon Carioca,Secretaria Especial de Proteção e Defesa do Consumidor,Cidadania,Publicado,Fica
Informações sobre tarifas de táxi,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Atendimento em Hospitais de Emergência e Pronto Atendimento,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
IPTU - Alteração de dados do destinatário,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Vistoria em imóvel com rachadura e infiltração,Subsecretaria de Proteção e Defesa Civil,Cidade,Publicado,Fica
Cópia digital de Planta de Arquitetura,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
ITBI - Correção de dados da guia paga (folha suplementar),Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Solicitação de transporte da gestante para a maternidade,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Autorização de poda ou remoção de árvore em área particular,Fundação Parques e Jardins,Meio Ambiente,Publicado,Fica
Certidão de Habite-se/Aceitação,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Declaração de rendimentos de servidor ativo,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Informações sobre o Benefício de Prestação Continuada,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
Isenção de Imposto de Renda,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Informações sobre pedido de aposentadoria,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Previ-Rio – atendimento ao público,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Reviver Centro,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Aguardando Aprovação,Fica - Validado
Reparo de cabo de iluminação pública,Companhia Municipal de Energia e Iluminação,Cidade,Publicado,Fica
Cadastramento de vagas de emprego,Secretaria Municipal de Trabalho e Renda,Cidadania,Publicado,Fica
"Fiscalização da ocupação irregular de área pública por estabelecimentos comerciais, industriais ou serviços",Coordenadoria de Licenciamento e Fiscalização,Cidade,Publicado,Fica - Validado
Informações sobre reboque ou remoção de veículos enguiçados ou acidentados,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
Emissão de guia para pagamento à vista em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
Alistamento Militar nas Gerências Executivas Locais (GEL’s),Secretaria Municipal de Coordenação Governamental,Cidadania,Publicado,Não fica - validado
"Limpeza de papeleira, contêiner e caçamba da COMLURB",Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Solicitação de autorização de filmagem - Rio Film Commission,Distribuidora de Filmes S.A. - RIOFILME,Licenças,Publicado,Fica
Solicitação de atendimento social,Secretaria Municipal de Assistência Social,Família,Em Edição,Fica
"Certidão Municipal de Inexigibilidade de Licenciamento Ambiental para atividades industriais, de comércio e serviços (CMI)",Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Meio Ambiente,Publicado,Fica
Taxa de incêndio - Informações,Secretaria Municipal de Fazenda,Tributos,Em Edição,Não fica - validado
Atendimento em Unidades de Pronto Atendimento (UPA 24 Horas),Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Notificação ao proprietário para limpeza de resíduos em terreno baldio,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Cópia ou Certidão de inteiro teor de documento ou processo,Subsecretaria de Transformação Digital e Cidade Inteligente,Cidade,Publicado,Fica
Reparo de buraco em calçada de Pedra Portuguesa,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica - Validado
Cartão de estacionamento para idosos,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Atendimento em Policlínicas,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Imóveis penhorados como garantia para o pagamento de Execuções Fiscais,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
Distribuição de kit enxoval do bebê,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Reparo em equipamentos de poste de iluminação pública,Companhia Municipal de Energia e Iluminação,Cidade,Aguardando Aprovação,Fica
Taxas – Taxa de Coleta Domiciliar de Lixo (TCL),Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
IPTU - Autenticidade da Certidão de Elementos Cadastrais,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Informações sobre desentupimento ou reparo de rede de esgoto em logradouros públicos,Fundação Instituto das Águas do Município do Rio de Janeiro,Cidade,Em Edição,Fica
Informações sobre o material Rioeduca,Secretaria Municipal de Educação,Educação,Publicado,Fica - Validado
Remoção de carcaça de veículo não identificável,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Informações sobre avaliação de aluno incluído,Secretaria Municipal de Educação,Educação,Publicado,Fica
Verificação do número do processo aberto na Secretaria Municipal de Transportes,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Patrimônio – Remição de Foro,Superintendência Executiva de Patrimônio Imobiliário,Tributos,Publicado,Fica
"Manutenção de mobiliário, brinquedos e equipamentos esportivos em praças e parques públicos",Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Informações sobre pecúlio,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Informações sobre fiscalização de irregularidades em linhas de ônibus,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Reinstalação de ponto de luz,Companhia Municipal de Energia e Iluminação,Cidade,Publicado,Fica
Licenciamento Truck Rio,Secretaria Municipal de Ordem Pública,Licenças,Publicado,Fica
Solicitação de vacinação em domicílio,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Requerimento de adiantamento de décimo terceiro salário para servidor ativo,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Programa Trabalha Rio,Secretaria Municipal de Trabalho e Renda,Trabalho,Publicado,Fica
Reparo de poste caído ou em risco de queda,Companhia Municipal de Energia e Iluminação,Cidade,Publicado,Fica
Fornecedores de bens e serviços – solicitação de cadastro,Secretaria Municipal de Administração,Licenças,Publicado,Fica
Informações sobre ações de acolhimento a pessoas em situação de rua,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
ISS – Casos de Responsabilidade e Retenção,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Consultar minhas solicitações do Processo.rio,Subsecretaria de Transformação Digital e Cidade Inteligente,Cidadania,Aguardando Aprovação,Não fica - validado
Acervo de Imagens PAA/PAL,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica - Validado
Fiscalização de obras de concessionárias de serviços públicos,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Informações sobre Cartão Família Carioca e Benefício Adicional por desempenho escolar,Secretaria Municipal de Assistência Social,Família,Em Edição,Não fica - validado
Assistência Veterinária do programa Bicho Rio,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica - Validado
Reparo de erros no processamento de serviços,Empresa Municipal de Informática S.A.,Cidade,Publicado,Não fica - validado
Autorização de poda ou remoção de árvore em área pública,Fundação Parques e Jardins,Meio Ambiente,Publicado,Fica
ITBI – Cumprimento de exigência em protocolo,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Sepultamento no cemitério de pequenos animais,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica
Procedimentos para admissão em cargo público efetivo,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Impressão de Taxa de Uso de Área Pública (TUAP) para mesas e cadeiras,Coordenadoria de Licenciamento e Fiscalização,Tributos,Em Edição,Fica
Nota Carioca – Códigos de atividades e códigos de serviços,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Cremação de animais,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica
Remoção de árvore em vias públicas,Companhia Municipal de Limpeza Urbana,Meio Ambiente,Publicado,Fica
ISS Visto Fiscal/Inclusão Predial – Parcelamento (exclusivo para Processos abertos na Gerência de Visto Fiscal),Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Licença de transformação de uso de edificação,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Licenças,Publicado,Fica
Retirada de protesto em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Em Edição,Fica
Informações sobre o auxílio moradia,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Patrimônio – Recadastramento Enfitêutico,Subsecretaria de Planejamento e Acompanhamento de Resultados,Tributos,Publicado,Fica
Emissão de boleto para pagamento de multa (DARM) no VLT,Guarda Municipal do Rio de Janeiro,Transporte,Publicado,Fica
ITBI – Certidão de quitação fiscal (nada consta),Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
ITBI – Petição em processo administrativo já aberto,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Informações sobre o Calendário Escolar,Secretaria Municipal de Educação,Educação,Publicado,Fica
Informações sobre isenção de taxa de inscrição em concurso,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
Limpeza de vala de drenagem,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Fiscalização de irregularidades em táxi,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Informações sobre o Benefício de Prestação Continuada,Secretaria Municipal de Assistência Social,Família,Em Edição,Não fica - validado
Informações sobre o programa Auxílio Gás dos Brasileiros,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
Informações sobre a concessão de alvará,Coordenadoria de Licenciamento e Fiscalização,Licenças,Em Edição,Não fica - validado
Multa de Trânsito - Ressarcimento de valor pago,Secretaria Municipal de Transportes,Trânsito,Publicado,Fica
Fiscalização de carros de som,Guarda Municipal do Rio de Janeiro,Ordem Pública,Publicado,Fica
Atendimento à Saúde da Criança e do Adolescente,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Solicitação de Cartão Morador,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
Benefícios relacionados ao falecimento do servidor,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Informações sobre Ofícios de Registro de Imóveis,Secretaria Municipal de Fazenda,Licenças,Em Edição,Não fica - validado
Informações sobre o Programa Lixo Zero,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
"Segunda via de Certificado de Vistoria, CIAT ou Atualização Cadastral para taxistas",Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Patrimônio – Emissão de guias para pagamento pelo uso de bens imóveis públicos,Subsecretaria de Planejamento e Acompanhamento de Resultados,Tributos,Em Edição,Fica
Informações sobre o auxílio funeral,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Informações sobre creches parceiras,Secretaria Municipal de Educação,Educação,Publicado,Fica
Relatório de Informações Urbanísticas,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
